id,annotation_id,elementid
813,6123,"[["""", ""clause""], [""type"", ""arenga""]]"
816,6126,"[["""", ""clause""], [""type"", ""witnesses""]]"
817,6127,"[["""", ""clause""], [""type"", ""notification""]]"
820,6130,"[["""", ""person""], [""type"", ""name""], [""@text"", ""ricardo-malluuel""]]"
789,6100,"[["""", ""clause""], [""type"", ""disposition""]]"
815,6125,"[["""", ""clause""], [""type"", ""disposition""]]"
829,6139,"[["""", ""clause""], [""type"", ""intitulatio""]]"
831,6141,"[["""", ""clause""], [""type"", ""disposition""]]"
832,6142,"[["""", ""clause""], [""type"", ""holding""]]"
833,6143,"[["""", ""clause""], [""type"", ""intitulatio""]]"
835,6145,"[["""", ""clause""], [""type"", ""witnesses""]]"
836,6146,"[["""", ""clause""], [""type"", ""disposition""]]"
819,6129,"[["""", ""person""], [""type"", ""name""], [""@text"", ""rogero""]]"
846,6157,"[["""", ""clause""], [""type"", ""notification""]]"
822,6132,"[["""", ""person""], [""type"", ""name""], [""@text"", ""michaele""]]"
839,6150,"[["""", ""clause""], [""type"", ""intitulatio""]]"
841,6152,"[["""", ""clause""], [""type"", ""notification""]]"
842,6153,"[["""", ""clause""], [""type"", ""sealing""]]"
844,6155,"[["""", ""clause""], [""type"", ""intitulatio""]]"
845,6156,"[["""", ""clause""], [""type"", ""intitulatio""]]"
847,6158,"[["""", ""clause""], [""type"", ""witnesses""]]"
848,6159,"[["""", ""clause""], [""type"", ""sealing""]]"
850,6171,"[["""", ""clause""], [""type"", ""disposition""]]"
851,6172,"[["""", ""clause""], [""type"", ""injunction""]]"
852,6173,"[["""", ""clause""], [""type"", ""notification""]]"
854,6176,"[["""", ""clause""], [""type"", ""disposition""]]"
823,6133,"[["""", ""person""], [""type"", ""name""], [""@text"", ""stephano""]]"
855,6177,"[["""", ""clause""], [""type"", ""holding""]]"
853,6174,"[["""", ""clause""], [""type"", ""witnesses""]]"
565,4187,"[["""", ""clause""], [""type"", ""narration""]]"
31,2559,"[["""", ""clause""], [""type"", ""intitulatio""]]"
938,7605,"[["""", ""clause""], [""type"", ""witnesses""]]"
939,7692,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
940,7693,"[["""", ""clause""], [""type"", ""address""]]"
941,7694,"[["""", ""clause""], [""type"", ""witnesses""]]"
942,7695,"[["""", ""clause""], [""type"", ""disposition""]]"
943,7784,"[["""", ""clause""], [""type"", ""witnesses""]]"
570,5013,"[["""", ""clause""], [""type"", ""witnesses""]]"
81,2626,"[["""", ""clause""], [""type"", ""address""]]"
571,5014,"[["""", ""clause""], [""type"", ""intitulatio""]]"
944,7785,"[["""", ""clause""], [""type"", ""address""]]"
89,2800,"[["""", ""clause""], [""type"", ""address""]]"
574,5442,"[["""", ""clause""], [""type"", ""address""]]"
575,5444,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomitibus""]]"
100,2813,"[["""", ""clause""], [""type"", ""disposition""]]"
576,5443,"[["""", ""person""], [""type"", ""title""], [""@text"", ""iustic""]]"
945,7786,"[["""", ""clause""], [""type"", ""disposition""]]"
577,5445,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomite""]]"
106,2818,"[["""", ""clause""], [""type"", ""address""]]"
1,2510,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomitibus""]]"
578,5447,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomitibus""]]"
947,7788,"[["""", ""clause""], [""type"", ""address""]]"
948,7789,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
53,2583,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-domino""]]"
